Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,HUNT_AND_KILL,0,761,185989,279683,54849,279682,1723,1723
RIGHT HAND RULE,HUNT_AND_KILL,0,761,326938,208497,81650,415270,1723,1723
BFS,RECURSIVE_DIVISION,0,761,199651,291817,10775,291816,13857,13857
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,225534,177736,13560,263542,16257,13857
BFS,DFS,0,761,131148,191172,48116,191171,38775,38775
RIGHT HAND RULE,DFS,0,761,156350,119851,49830,200926,38775,38775
BFS,PRIM,0,761,193271,288259,46663,288258,2015,2015
RIGHT HAND RULE,PRIM,0,761,361629,226709,73153,451402,2015,2015
BFS,HUNT_AND_KILL,0,761,194155,288417,56589,288416,1579,1579
RIGHT HAND RULE,HUNT_AND_KILL,0,761,232194,149629,58405,297678,1579,1579
BFS,RECURSIVE_DIVISION,0,761,223009,328242,11455,328241,15421,15421
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,189761,157009,11087,231024,18443,15421
BFS,DFS,0,761,113082,161868,40728,161867,33207,33207
RIGHT HAND RULE,DFS,0,761,270447,187699,85373,342190,33207,33207
BFS,PRIM,0,761,136463,200966,32424,200965,1747,1747
RIGHT HAND RULE,PRIM,0,761,328754,206549,66866,411350,1747,1747
BFS,HUNT_AND_KILL,0,761,129850,190913,37372,190912,1743,1743
RIGHT HAND RULE,HUNT_AND_KILL,0,761,305602,194285,75989,386826,1743,1743
BFS,RECURSIVE_DIVISION,0,761,222475,329359,11775,329358,18577,18577
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,231076,185337,13355,271606,21757,18577
BFS,DFS,0,761,192478,282098,70291,282097,48383,48383
RIGHT HAND RULE,DFS,0,761,227688,169531,72323,290678,48383,48383
BFS,PRIM,0,761,143067,212255,34120,212254,1675,1675
RIGHT HAND RULE,PRIM,0,761,275020,173735,56022,345794,1675,1675
BFS,HUNT_AND_KILL,0,761,146892,218214,42841,218213,1975,1975
RIGHT HAND RULE,HUNT_AND_KILL,0,761,394370,247783,97384,493590,1975,1975
BFS,RECURSIVE_DIVISION,0,761,213882,315135,10962,315134,14971,14971
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,190113,152189,10847,224270,17653,14971
BFS,DFS,0,761,81331,117151,29646,117150,22927,22927
RIGHT HAND RULE,DFS,0,761,109850,82827,35301,142726,22927,22927
BFS,PRIM,0,761,193123,288719,46879,288718,1651,1651
RIGHT HAND RULE,PRIM,0,761,211790,136395,44005,271138,1651,1651
BFS,HUNT_AND_KILL,0,761,194841,288801,56773,288800,1695,1695
RIGHT HAND RULE,HUNT_AND_KILL,0,761,121192,81321,31630,160946,1695,1695
BFS,RECURSIVE_DIVISION,0,761,218053,321308,10919,321307,14345,14345
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,303015,239007,17029,356348,16837,14345
BFS,DFS,0,761,126012,184059,46298,184058,35591,35591
RIGHT HAND RULE,DFS,0,761,162043,122129,51837,208666,35591,35591
BFS,PRIM,0,761,193766,288801,46820,288800,1807,1807
RIGHT HAND RULE,PRIM,0,761,323984,206827,66825,411846,1807,1807
BFS,HUNT_AND_KILL,0,761,193275,288774,56691,288773,1631,1631
RIGHT HAND RULE,HUNT_AND_KILL,0,761,163829,108245,42081,214858,1631,1631
BFS,RECURSIVE_DIVISION,0,761,222752,328188,11659,328187,15557,15557
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,157384,127885,9243,186348,18275,15557
BFS,DFS,0,761,171004,251351,62794,251350,39475,39475
RIGHT HAND RULE,DFS,0,761,193684,143361,61523,247246,39475,39475
BFS,PRIM,0,761,78771,113266,18212,113265,1623,1623
RIGHT HAND RULE,PRIM,0,761,242859,155241,50048,308858,1623,1623
BFS,HUNT_AND_KILL,0,761,178866,261679,51362,261678,1895,1895
RIGHT HAND RULE,HUNT_AND_KILL,0,761,387993,245035,96056,488174,1895,1895
BFS,RECURSIVE_DIVISION,0,761,204995,301358,10626,301357,8959,8959
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,145452,120628,8605,178634,10573,8959
BFS,DFS,0,761,66320,92413,23588,92412,17643,17643
RIGHT HAND RULE,DFS,0,761,229873,157297,73985,296950,17643,17643
BFS,PRIM,0,761,154504,230301,37079,230300,1655,1655
RIGHT HAND RULE,PRIM,0,761,211637,135747,43741,269838,1655,1655
BFS,HUNT_AND_KILL,0,761,194005,288801,56644,288800,1571,1571
RIGHT HAND RULE,HUNT_AND_KILL,0,761,226821,146709,57129,291846,1571,1571
BFS,RECURSIVE_DIVISION,0,761,217044,316600,10567,316599,17659,17659
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,145945,119174,7911,171760,20385,17659
BFS,DFS,0,761,87669,124768,31670,124767,21035,21035
RIGHT HAND RULE,DFS,0,761,235966,162733,75658,304430,21035,21035
BFS,PRIM,0,761,189789,280634,45329,280633,1659,1659
RIGHT HAND RULE,PRIM,0,761,258217,163221,52519,324782,1659,1659
BFS,HUNT_AND_KILL,0,761,191338,286305,56358,286304,1623,1623
RIGHT HAND RULE,HUNT_AND_KILL,0,761,175642,114159,44743,226694,1623,1623
BFS,RECURSIVE_DIVISION,0,761,180049,265915,9623,265914,10633,10633
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,86538,72853,5506,105480,12601,10633
